time,user_name,user_color,message
0,eske54,#FF69B4,"pelSleep pelSleep pelSleep pelSleep pelSleep pelSleep pelSleep pelSleep pelSleep pelSleep pelSleep pelSleep pelSleep pelSleep pelSleep pelSleep pelSleep pelSleep pelSleep pelSleep pelSleep pelSleep pelSleep pelSleep pelSleep pelSleep pelSleep pelSleep pelSleep pelSleep pelSleep pelSleep"
0,xkasperian,,"Youtubekin lahos"
1,tomi,#D2691E,"korjais jo"
2,veedubtw,#FF69B4,"WATAAAA"
5,tomi,#D2691E,"oho"
7,riqumato,#FF0000,"OEEEEEEEEEEEEEEEEE"
7,veedubtw,#FF69B4,"ME OLLAAN BACK"
8,k_rkari,#0000FF,"Joel"
9,shadowxxx67,,"xffong"
9,raattani,#B22222,"UPEETA SAATANA"
10,vvjsuo,#2E8B57,"b"
14,jaqeee,#FF0000,"VITTU HUOME VAI TÄNÄÄ"
15,captbablobronzebeard,#FF69B4,"OEE"
16,arkkis27,#1E90FF,"F5"
16,burecrs,#008000,"saved Pog"
16,mixu77,#8A2BE2,"xff"
16,jomenaa,#1E90FF,"OOOO"
16,eetusqt,#AFFF25,"bling blang blong viddu"
18,raattani,#B22222,"sipuli on sekaisin KIITOS"
18,pimeess,,"firman nettiliittymä ulosotossa"
19,elemoa,#FF69B4,"AINA USKOTTU"
21,nightbot,#7C7CE1,"Chilli Cheese McDouble 3,50. Mäkkäristä. https://pelaajat.com/out/mcdonalds"
21,veedubtw,#FF69B4,"tää oli hyvä"
22,baronvonkaya,#FF4500,"pistäkää kii"
25,tomskatv,#0000FF,"xffong"
27,seppo9114,#FF69B4,"no moro pojat"
29,japezz,#B22222,"OOOO OOOO"
31,neea_owo,#FF69B4,"back in bussiness :3"
32,sonnipitkanen,,"DinoDance DinoDance DinoDance DinoDance DinoDance DinoDance DinoDance"
33,zzzjeeeee,#008000,"xffong"
34,tussunat0r,#FF0000,"Perus pelcom tuotantoa 5/5"
36,eetusqt,#AFFF25,"luetteko yt chattia ikinä myyrä"
37,eske54,#FF69B4,"JOKO SAA KORKATA MORGANIT JA KOKIKSET???????"
37,nightbot,#7C7CE1,"Suomen hermeettisimmät löylyt ja saunatilat – nyt kampanjahintaan 199€/vrk🔥 Bootcampin yhteydessä saunatilat –50% https://pelaajat.com/saunatilat"
39,xkasperian,,"Hyi saatana kun väärältä olla youtuben puolella"
39,arkkis27,#1E90FF,"xffong"
42,sonnipitkanen,,"SKY IS GREYYYYYYYYYYYYYYY"
44,captbablobronzebeard,#FF69B4,"BEATLES ON KOVA"
46,oonraimonvuokranantaja,#008000,"Onko live ONKO???"
48,osxu,#0000FF,"mikä tilanne pelissä?"
49,et_cs,#00FF7F,"nuniii"
50,lydicrist_,#00FF7F,"eka"
53,nightbot,#7C7CE1,"Käy tsekkaamassa Huippukivan ESL-diilit! Koodilla PELAAJATCOM 10% lisäalennus koko tilaukselle. https://pelaajat.com/out/huippukiva"
56,tomi,#D2691E,"onneks olli korjas ongelmat"
57,koudero,,"@eske54 Onhan kello Moskovassa jo 12"
60,jaqeee,#FF0000,"@eske54 !säännöt"
61,grizzt,,"Aina samat mokaa"
62,sonnipitkanen,,"CALIFORNIAAAAAA DREAMINGGGGG"
65,mimmomayn,#5F9EA0,"oeee"
65,riisimi3s,#8A2BE2,"hyväolli"
65,olvarinnat,#5F9EA0,"Rothchild family biisi"
65,rranu_,#00FF7F,"oho"
66,rapass,,"Olvari lopeta se koneiden paskominen"
68,ggjali,#1E90FF,"oho"
69,samuli84,,"Tuliko sperma bännit"
71,osxu,#0000FF,"mainokset vaan näkyville :D"
75,captbablobronzebeard,#FF69B4,"ihan perhanan kova kappale"
75,puppeer,,"terve youtube"
77,saunantakainen,#8A2BE2,"Nyt voidaan youtube-chat unohtaa taas puoleksi vuodeksi"
80,sonnipitkanen,,"!mäkkäri"
80,nightbot,#7C7CE1,"Chilli Cheese McDouble 3,50. Mäkkäristä. https://pelaajat.com/out/mcdonalds"
80,mixu77,#8A2BE2,"kalajoen hiekat"
81,jesba02,#00FF7F,"minä tykkään olvarista romanttisessa mielessä❤️🌈"
83,morko_pubg,,"Vittu vihdoin"
87,eetusqt,#AFFF25,"xffong"
89,casualli,#FF69B4,"xff"
89,jaskakola,,"Mitä teijän streamille kävi?"
